Type,Start Date,End Date,Geometry
ROAD_CLOSURE,2020-08-03T10:56:58,2020-08-03T15:56:05,"LINESTRING (103.63471 1.3496, 103.63485 1.34946, 103.63491 1.34943, 103.63531 1.3493)"
ROAD_CLOSURE,2020-08-03T10:56:58,2020-08-03T15:56:05,"LINESTRING (103.63434 1.34992, 103.63449 1.3498)"
ROAD_CLOSURE,2020-08-03T10:56:58,2020-08-03T15:56:05,"LINESTRING (103.62935 1.35365, 103.62959 1.35347)"
ROAD_CLOSURE,2020-08-03T10:56:58,2020-08-03T15:56:05,"LINESTRING (103.63411 1.35009, 103.63434 1.34992)"
ROAD_CLOSURE,2020-08-03T14:56:58,2020-08-03T19:56:05,"LINESTRING (103.63434 1.34992, 103.63449 1.3498)"
CONSTRUCTION,2020-08-03T14:55:31,2020-08-03T21:00:00,"LINESTRING (101.62929 3.20863, 101.62941 3.20897, 101.62945 3.20907)"
ROAD_CLOSURE,2020-08-03T14:56:58,2020-08-03T19:56:05,"LINESTRING (103.62935 1.35365, 103.62959 1.35347)"
ROAD_CLOSURE,2020-08-03T14:56:58,2020-08-03T19:56:05,"LINESTRING (103.63471 1.3496, 103.63485 1.34946, 103.63491 1.34943, 103.63531 1.3493)"
CONSTRUCTION,2020-08-03T14:55:31,2020-08-03T21:00:00,"LINESTRING (101.62958 3.20903, 101.62955 3.20879, 101.6295 3.20863)"
ROAD_CLOSURE,2020-08-03T14:56:58,2020-08-03T19:56:05,"LINESTRING (103.63411 1.35009, 103.63434 1.34992)"
CONSTRUCTION,2020-08-03T14:50:17,2020-08-03T21:00:00,"LINESTRING (101.62965 3.21069, 101.62946 3.21014)"
ROAD_CLOSURE,2020-08-03T15:57:46,2020-08-03T20:56:05,"LINESTRING (103.63434 1.34992, 103.63449 1.3498)"
ROAD_CLOSURE,2020-08-03T15:57:46,2020-08-03T20:56:05,"LINESTRING (103.63471 1.3496, 103.63485 1.34946, 103.63491 1.34943, 103.63531 1.3493)"
ROAD_CLOSURE,2020-08-03T15:57:46,2020-08-03T20:56:05,"LINESTRING (103.63411 1.35009, 103.63434 1.34992)"
ROAD_CLOSURE,2020-08-03T15:57:46,2020-08-03T20:56:05,"LINESTRING (103.62935 1.35365, 103.62959 1.35347)"
ROAD_CLOSURE,2020-08-03T16:57:45,2020-08-03T21:56:05,"LINESTRING (103.63434 1.34992, 103.63449 1.3498)"
ROAD_CLOSURE,2020-08-03T16:57:45,2020-08-03T21:56:05,"LINESTRING (103.62935 1.35365, 103.62959 1.35347)"
ROAD_CLOSURE,2020-08-03T16:57:45,2020-08-03T21:56:05,"LINESTRING (103.63471 1.3496, 103.63485 1.34946, 103.63491 1.34943, 103.63531 1.3493)"
ROAD_CLOSURE,2020-08-03T16:57:45,2020-08-03T21:56:05,"LINESTRING (103.63411 1.35009, 103.63434 1.34992)"
ROAD_CLOSURE,2020-08-03T18:57:45,2020-08-03T23:56:05,"LINESTRING (103.63434 1.34992, 103.63449 1.3498)"
ROAD_CLOSURE,2020-08-03T18:57:45,2020-08-03T23:56:05,"LINESTRING (103.63411 1.35009, 103.63434 1.34992)"
ROAD_CLOSURE,2020-08-03T18:57:45,2020-08-03T23:56:05,"LINESTRING (103.63471 1.3496, 103.63485 1.34946, 103.63491 1.34943, 103.63531 1.3493)"
ROAD_CLOSURE,2020-08-03T18:57:45,2020-08-03T23:56:05,"LINESTRING (103.62935 1.35365, 103.62959 1.35347)"
ROAD_CLOSURE,2020-08-03T17:57:45,2020-08-03T22:56:05,"LINESTRING (103.62935 1.35365, 103.62959 1.35347)"
ROAD_CLOSURE,2020-08-03T17:57:45,2020-08-03T22:56:05,"LINESTRING (103.63471 1.3496, 103.63485 1.34946, 103.63491 1.34943, 103.63531 1.3493)"
ROAD_CLOSURE,2020-08-03T17:57:45,2020-08-03T22:56:05,"LINESTRING (103.63434 1.34992, 103.63449 1.3498)"
