0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
2086,0.51216,Jalan Helang Belalang,+,0.72,TR,45.0,45.0,60.0,3.33433,2020-08-03T00:59:47Z,Jalan Lang Mas/Jalan Lang Emas,d2569c58-9249-4955-b287-31cdec7f17ff,F05-02083,F05-02083_2020-08-03T00:59:47Z,
2085,1.4854,Jalan 6/38A,+,0.71,TR,53.33,53.33,57.8,1.03118,2020-08-03T00:59:47Z,Jalan Lang Mas/Jalan Lang Emas,d2569c58-9249-4955-b287-31cdec7f17ff,F05-02083,F05-02083_2020-08-03T00:59:47Z,
2084,0.33522,Jalan Segambut,+,0.7,TR,22.0,22.0,39.4,2.9,2020-08-03T00:59:47Z,Jalan Lang Mas/Jalan Lang Emas,d2569c58-9249-4955-b287-31cdec7f17ff,F05-02083,F05-02083_2020-08-03T00:59:47Z,
2082,0.75954,Jalan Ipoh/Jalan Kepong,+,0.74,TR,30.04,30.04,"{'SS': [{'JF': 6.57344, 'LE': 0.47493, 'SP': 40.85, 'FF': 71.5, 'SU': 40.85}, {'JF': 8.89634, 'LE': 0.28461, 'SP': 20.84, 'FF': 71.88, 'SU': 20.84}]}",71.6,8.34314,2020-08-03T00:59:47Z,Jalan Kuching,fa2404c2-f7d7-412c-bce3-b25bba5d50ee,F05-02076,F05-02076_2020-08-03T00:59:47Z
2081,1.03797,Lebuhraya Duta-Ulu Kelang,+,0.76,TR,31.24,31.24,72.8,8.12677,2020-08-03T00:59:47Z,Jalan Kuching,fa2404c2-f7d7-412c-bce3-b25bba5d50ee,F05-02076,F05-02076_2020-08-03T00:59:47Z,
2080,1.07055,Persiaran Dutamas 2,+,0.77,TR,41.03,41.03,75.6,6.35213,2020-08-03T00:59:47Z,Jalan Kuching,fa2404c2-f7d7-412c-bce3-b25bba5d50ee,F05-02076,F05-02076_2020-08-03T00:59:47Z,
2079,0.97888,Jalan Duta,+,0.74,TR,62.67,62.67,78.1,2.63491,2020-08-03T00:59:47Z,Jalan Kuching,fa2404c2-f7d7-412c-bce3-b25bba5d50ee,F05-02076,F05-02076_2020-08-03T00:59:47Z,
2078,1.7189,Lebuhraya Mahameru/Jalan Tun Ismail,+,0.8,TR,59.18,59.18,76.2,2.97775,2020-08-03T00:59:47Z,Jalan Kuching,fa2404c2-f7d7-412c-bce3-b25bba5d50ee,F05-02076,F05-02076_2020-08-03T00:59:47Z,
2077,0.42989,Jalan Sultan Ismail,+,0.75,TR,40.84,40.84,69.8,5.43744,2020-08-03T00:59:47Z,Jalan Kuching,fa2404c2-f7d7-412c-bce3-b25bba5d50ee,F05-02076,F05-02076_2020-08-03T00:59:47Z,
2092,0.02481,Jalan Tembusu/Jalan Cenderasari,+,0.7,TR,29.0,29.0,37.0,1.8018,2020-08-03T00:59:47Z,Jalan Lembah/Jalan Perdana,04192712-b65d-40af-83ea-bd290fb1b0e2,F05-02089,F05-02089_2020-08-03T00:59:47Z,
